datetime,Depth_meter,Water_Temperature_celsius
2020-07-21 10:35:00,0.3,18.3861720478953
2020-07-21 10:35:00,0.25,18.6318839144027
2020-07-21 10:35:00,0.2,18.6424169917883
2020-07-21 10:35:00,0.1,18.6740041986209
2020-07-21 10:35:00,0.05,18.8534365954265
2020-07-21 10:45:00,0.3,18.492482955731
2020-07-21 10:45:00,0.25,18.8042267174227
2020-07-21 10:45:00,0.2,18.8155655563342
2020-07-21 10:45:00,0.1,19.009022251361
2020-07-21 10:45:00,0.05,19.4329170413009
2020-07-21 10:55:00,0.3,18.5863310851529
2020-07-21 10:55:00,0.25,19.0466372810335
2020-07-21 10:55:00,0.2,19.1009852342545
2020-07-21 10:55:00,0.1,19.1216669645678
2020-07-21 10:55:00,0.05,19.6586884159972
2020-07-21 11:05:00,0.3,18.6821772466774
2020-07-21 11:05:00,0.25,19.1924428167739
2020-07-21 11:05:00,0.2,19.2337489563778
2020-07-21 11:05:00,0.1,19.3445215385634
2020-07-21 11:05:00,0.05,19.9280429898977
2020-07-21 11:15:00,0.3,18.7897243603828
2020-07-21 11:15:00,0.25,19.3423265160819
2020-07-21 11:15:00,0.2,19.3779261084429
2020-07-21 11:15:00,0.1,19.5408159200542
2020-07-21 11:15:00,0.05,20.0867542852176
2020-07-21 11:25:00,0.3,18.904561000452
2020-07-21 11:25:00,0.25,19.454346729664
2020-07-21 11:25:00,0.2,19.4965602107297
2020-07-21 11:25:00,0.1,19.6258844546451
2020-07-21 11:25:00,0.05,20.0967632296643
2020-07-21 11:35:00,0.3,19.1184394438733
2020-07-21 11:35:00,0.25,19.7514756307374
2020-07-21 11:35:00,0.2,19.8010149555732
2020-07-21 11:35:00,0.1,19.9115436890591
2020-07-21 11:35:00,0.05,20.1700202095989
2020-07-21 11:45:00,0.3,19.2339267312905
2020-07-21 11:45:00,0.25,19.9190859921461
2020-07-21 11:45:00,0.2,19.9333039813668
2020-07-21 11:45:00,0.1,20.1770837119046
2020-07-21 11:45:00,0.05,20.5918924219861
2020-07-21 11:55:00,0.3,19.4101332412923
2020-07-21 11:55:00,0.25,20.0986856419194
2020-07-21 11:55:00,0.2,20.1490711162054
2020-07-21 11:55:00,0.1,20.3685115344543
2020-07-21 11:55:00,0.05,20.8150860215145
2020-07-21 12:05:00,0.3,19.5836808569111
2020-07-21 12:05:00,0.25,20.3066572709915
2020-07-21 12:05:00,0.2,20.3506863912244
2020-07-21 12:05:00,0.1,20.7841585662902
2020-07-21 12:05:00,0.05,21.3188051631762
2020-07-21 12:15:00,0.3,19.7567147894284
2020-07-21 12:15:00,0.25,20.532201723688
2020-07-21 12:15:00,0.2,20.5794030933749
2020-07-21 12:15:00,0.1,21.0808467909864
2020-07-21 12:15:00,0.05,21.6308905701235
2020-07-21 12:25:00,0.3,19.92594386743
2020-07-21 12:25:00,0.25,20.7253976243344
2020-07-21 12:25:00,0.2,20.7811479916923
2020-07-21 12:25:00,0.1,21.3039317211515
2020-07-21 12:25:00,0.05,21.8128067727369
2020-07-21 12:35:00,0.3,20.1036073059053
