wind_speed,swr,Kw,c_relax_C,par_id
0.97462,0.85982,0.67779,0.00063553,p001
1.6684,0.98604,0.97845,0.0082316,p002
1.6545,0.56094,1.1359,0.0095964,p003
0.55299,1.0605,1.4336,0.0096579,p004
1.9935,0.93964,0.51153,0.0071381,p005
1.1079,0.57662,1.4863,0.0076787,p006
1.1783,1.3471,1.1565,0.0044739,p007
1.4285,1.1729,1.0765,0.00090008,p008
0.71018,0.77375,1.1668,0.00024353,p009
1.314,0.58898,1.4487,0.0021593,p010
0.51517,1.2483,1.121,0.0030734,p011
1.0883,0.90906,1.3859,0.007479,p012
1.0841,0.52317,0.78626,0.0069652,p013
1.5716,0.99909,0.62218,0.0036992,p014
1.7445,0.87479,0.90819,0.0068458,p015
1.2099,0.94174,1.1423,0.0055607,p016
1.2327,0.8299,1.3358,0.0018194,p017
1.7079,1.3946,0.72774,0.0050199,p018
1.5033,0.73436,1.0159,0.0066188,p019
0.92507,1.114,0.98925,0.0010355,p020
1.8919,1.4428,1.0574,0.00039216,p021
1.4864,1.3142,0.99445,0.004246,p022
1.515,1.2085,1.214,0.00057687,p023
0.91955,1.2783,1.4905,0.0031893,p024
1.678,0.53134,0.70305,0.0024592,p025
1.2556,0.59684,1.005,0.0026661,p026
1.2698,1.4218,1.1903,0.0028769,p027
1.4076,0.80473,0.65767,0.00622,p028
1.8782,1.0944,1.4033,0.009187,p029
0.50268,1.0539,0.5821,0.0041357,p030
1.3453,0.91106,1.3621,0.009854,p031
1.4396,1.2329,0.87022,0.0030286,p032
1.822,1.4373,1.2651,0.0047144,p033
1.7721,1.3547,1.1763,0.0052139,p034
1.154,0.62366,0.92272,0.0093743,p035
0.87393,0.86606,1.3428,0.0079515,p036
1.0297,0.84093,0.59463,0.0049102,p037
1.7922,1.496,0.50025,0.0045618,p038
1.3272,1.1387,0.88743,0.0017077,p039
0.68295,0.55876,0.63817,0.0064782,p040
1.2454,0.6826,0.85248,0.002324,p041
0.6562,1.4588,0.76271,0.0099166,p042
1.8381,0.8112,0.95055,0.0052955,p043
1.3685,0.51743,1.3702,0.0083179,p044
1.3903,1.2241,0.83421,0.0013392,p045
1.3075,1.4864,0.80518,0.0015924,p046
1.2901,1.1882,0.79553,0.0035075,p047
1.8061,1.0203,0.96181,0.00013483,p048
1.9059,0.83936,0.54207,0.0078826,p049
1.0434,1.0713,1.0385,0.0067271,p050
1.0014,0.88359,0.74841,0.0064207,p051
1.4545,0.92243,0.68527,0.0015519,p052
1.3747,1.0836,1.3597,0.0089921,p053
0.82022,0.97356,1.3294,0.0040009,p054
0.94122,0.72233,0.93553,0.0058421,p055
0.78378,1.1271,0.82047,0.0054768,p056
1.5364,1.4678,0.56597,0.0014329,p057
0.83466,0.69365,1.4234,0.007366,p058
1.7259,1.1907,1.0861,0.0028074,p059
1.5844,0.89382,1.4719,0.0043141,p060
1.5982,1.4715,0.55051,0.0094523,p061
0.63839,0.50909,0.60385,0.0092413,p062
1.1283,1.4049,1.2017,0.0011891,p063
1.9507,0.96458,1.067,0.00089012,p064
0.63254,1.2103,1.295,0.0025478,p065
0.96079,1.1406,1.3183,0.0070784,p066
1.9329,1.2617,0.71905,0.0035664,p067
1.6235,1.1512,1.3073,0.0086064,p068
1.064,0.79851,1.454,0.0026903,p069
0.56821,0.70618,0.81472,0.002258,p070
1.7871,0.54817,1.0428,0.0020266,p071
1.691,1.29,1.4698,0.0059752,p072
1.1917,1.0004,1.4153,0.0062986,p073
0.85416,0.67596,0.61884,0.0033196,p074
0.59046,1.3896,0.69158,0.0081835,p075
0.88155,1.2522,1.0272,0.0037872,p076
1.1364,1.335,1.243,0.0080933,p077
1.4686,0.65961,1.1137,0.0033966,p078
0.80359,1.1667,1.181,0.0075322,p079
0.73962,1.0346,0.94361,0.0011777,p080
0.67175,0.78222,0.77475,0.0077918,p081
1.0131,0.71799,0.5217,0.0057579,p082
1.8517,1.2804,0.53711,0.0050995,p083
1.9691,1.379,0.64136,0.0056747,p084
0.54414,0.74384,0.66515,0.0087294,p085
1.5608,0.63897,0.86658,0.0060984,p086
0.75428,0.66942,1.2899,0.0088524,p087
0.98129,1.3034,0.75663,0.0019171,p088
0.58011,0.76532,0.89713,0.00048198,p089
0.89813,0.6081,1.2596,0.0090274,p090
1.9704,1.3689,0.73037,0.0067573,p091
1.9201,0.75728,1.0925,0.0072568,p092
0.6111,1.0425,1.2764,0.0039437,p093
1.7456,1.3292,1.2307,0.0086153,p094
0.79226,1.1024,0.91214,0.0053984,p095
0.70135,1.4142,0.57763,0.0097801,p096
1.1611,0.6403,1.2206,0.0044275,p097
1.631,1.0154,0.84903,0.0048434,p098
1.5206,0.6171,1.1052,0.0084241,p099
0.7632,0.95127,1.3941,0.00075353,p100
