wind_speed,swr,Kw,turb_param/k_min,par_id
1.6398,1.3003,0.61185,4.0946e-05,p001
1.517,0.87923,0.84911,1.3522e-05,p002
1.5505,1.3189,0.55988,1.2674e-05,p003
0.76277,1.4832,0.75936,0.00046385,p004
0.99018,0.8207,1.3179,1.8398e-05,p005
1.3212,1.0418,1.0291,0.00027118,p006
1.9052,0.73472,1.4282,4.8055e-05,p007
1.9264,1.1967,1.37,2.3515e-05,p008
1.1757,1.0783,0.80921,8.0668e-06,p009
1.6575,1.1667,0.6901,3.1271e-05,p010
0.64338,0.8848,1.036,3.6323e-05,p011
1.0731,1.2149,0.59708,6.4551e-06,p012
0.95454,0.98933,0.81548,0.00025595,p013
1.0557,0.60949,1.2072,8.521e-06,p014
1.201,1.4412,1.1752,2.1e-05,p015
1.4049,1.0297,0.97368,0.00011574,p016
0.52108,0.96028,0.68802,7.5947e-05,p017
0.74463,1.1184,1.3647,0.00015246,p018
1.1469,1.3388,1.3478,0.00019799,p019
1.9127,0.61753,0.6504,0.00029865,p020
1.2623,0.84932,0.62276,7.2594e-06,p021
1.5366,0.93152,1.0867,0.00035349,p022
1.5706,0.58585,0.91149,0.00021392,p023
1.4358,0.89683,1.2705,6.1446e-05,p024
1.5025,1.4702,0.74422,7.5825e-06,p025
0.86789,1.4327,1.438,5.3761e-05,p026
0.61277,1.3873,0.5799,0.00012674,p027
1.7503,0.9066,0.78764,0.00024843,p028
1.4605,0.66054,0.79692,0.00028155,p029
1.9575,0.95469,0.71303,0.00018287,p030
1.6141,0.75832,1.3955,6.2097e-06,p031
1.2827,0.56205,1.2887,4.5889e-05,p032
1.7045,0.72226,1.0691,0.00016609,p033
1.6015,0.77681,1.3867,7.1681e-06,p034
0.50513,0.70598,0.54101,2.6092e-05,p035
1.6742,1.1513,1.4673,1.0169e-05,p036
1.9999,1.0639,0.95083,5.615e-06,p037
0.69974,1.1778,0.73559,0.00016231,p038
1.1676,1.3511,1.2593,1.0677e-05,p039
0.81109,1.2278,0.70964,2.8047e-05,p040
1.2672,0.80843,1.2286,0.00041114,p041
1.7736,0.76024,0.51801,5.9342e-06,p042
1.1263,0.53533,1.1274,1.5496e-05,p043
1.686,1.2366,0.93371,0.00014799,p044
0.73393,1.2439,1.3205,1.4047e-05,p045
1.8384,0.74338,0.67321,0.00033598,p046
1.1329,0.50766,0.96929,1.1186e-05,p047
1.5263,0.646,1.0749,0.00012292,p048
0.94305,0.55061,0.88494,0.00044252,p049
1.2069,1.2558,1.0065,1.9208e-05,p050
1.5839,0.57463,0.83845,3.1843e-05,p051
0.81887,0.7113,1.4434,8.484e-05,p052
1.0494,1.3403,0.64531,5.4898e-05,p053
1.3447,1.1895,1.3382,5.115e-06,p054
1.7276,1.0047,1.1326,5.1683e-05,p055
0.54585,1.0847,0.53435,0.0002313,p056
1.4874,0.63369,1.2667,8.7312e-05,p057
1.9758,1.2882,1.1628,0.00010193,p058
0.93284,1.3714,0.6374,0.00037115,p059
0.62337,1.4127,0.8613,1.2093e-05,p060
1.4297,1.2964,1.1578,5.8318e-05,p061
1.7785,1.4039,0.85811,8.1788e-05,p062
0.59856,1.031,1.3031,0.00017723,p063
0.89617,0.78126,1.2306,0.00022151,p064
0.57874,1.2631,0.9023,0.00042958,p065
1.8016,1.1018,1.4856,7.5631e-05,p066
1.8863,0.65084,0.66326,4.4475e-05,p067
0.85549,1.1467,0.99412,6.6902e-06,p068
1.2486,0.94589,1.1899,3.4295e-05,p069
0.57184,0.81629,0.58518,0.00031467,p070
1.8088,0.5963,0.77147,9.6366e-05,p071
0.68144,0.51912,0.92233,2.4667e-05,p072
1.3077,1.122,0.52253,5.3516e-06,p073
0.77003,1.4927,0.94349,2.7109e-05,p074
1.8532,0.9147,1.2156,1.7095e-05,p075
0.71422,1.4205,1.3583,0.00014354,p076
1.9548,1.321,1.0412,0.00013452,p077
0.65923,0.69606,0.7226,0.00032839,p078
0.66857,0.92802,0.50003,0.00010885,p079
1.2253,0.68129,1.2913,1.1766e-05,p080
0.53818,0.83701,1.4746,3.5195e-05,p081
1.0129,0.52889,1.0931,0.00038077,p082
1.3602,1.2041,0.89051,1.4915e-05,p083
1.0014,0.99974,1.4071,6.6714e-05,p084
1.6418,1.0565,1.1197,2.0727e-05,p085
1.7424,0.85175,1.0186,0.00048988,p086
1.8788,0.86333,1.2413,9.8623e-06,p087
1.1086,0.67934,1.4125,7.0665e-05,p088
1.0857,1.464,1.054,4.208e-05,p089
0.91926,1.1321,0.87612,9.5268e-05,p090
1.8299,1.0902,0.56749,6.5631e-05,p091
1.4571,1.4577,0.76524,0.00011048,p092
0.84352,1.3673,1.1478,1.7754e-05,p093
1.3265,0.97217,0.98092,2.2217e-05,p094
0.88236,1.3981,1.1053,0.00020583,p095
1.0357,1.2707,0.82508,8.7207e-06,p096
0.97749,0.62566,1.1908,9.1135e-06,p097
1.3965,0.54774,1.4986,1.622e-05,p098
0.79717,1.0146,1.4524,3.8559e-05,p099
1.3827,0.79016,0.60511,2.9908e-05,p100
