wind_speed,swr,Kw,turb_param/k_min,par_id
1.9816,0.61655,1.1646,6.8455e-05,p001
0.65514,0.6515,1.3753,0.00030155,p002
1.7996,0.7099,1.3668,0.00022844,p003
0.93325,0.95616,1.1017,1.6036e-05,p004
1.5206,1.4674,1.1412,6.339e-06,p005
0.98764,0.82245,0.59365,5.8636e-06,p006
1.3935,1.3554,0.94309,2.8731e-05,p007
1.6069,0.59812,1.2575,3.7109e-05,p008
1.255,1.2429,1.2618,0.0003611,p009
1.1739,1.4035,0.90231,1.3975e-05,p010
1.7033,0.52663,1.4957,3.0314e-05,p011
1.236,1.0858,1.3965,0.00014759,p012
1.7219,1.0427,0.86164,0.0001395,p013
1.767,1.2399,0.62244,6.2163e-05,p014
0.8826,1.291,0.51019,4.0833e-05,p015
1.855,0.90256,1.3014,1.0677e-05,p016
0.85813,1.2852,1.2785,0.00012759,p017
0.80444,1.2555,0.91695,4.2701e-05,p018
0.78494,1.1501,0.58396,3.9312e-05,p019
0.90011,0.85937,1.0089,0.00028549,p020
0.72728,0.98154,0.87739,1.537e-05,p021
1.336,0.55843,1.2987,0.00020642,p022
0.94439,0.9329,1.028,2.0091e-05,p023
1.2949,0.72469,1.4112,0.0003908,p024
1.7587,0.77915,0.65095,1.9028e-05,p025
1.35,0.54775,1.3206,2.5695e-05,p026
0.87237,0.76407,1.2142,0.00012059,p027
1.6287,0.7981,0.79826,4.7348e-05,p028
1.7341,1.1914,0.84426,0.00011348,p029
1.3593,1.0154,0.71667,4.3839e-05,p030
0.6929,1.4984,1.312,2.3272e-05,p031
1.1205,1.3326,0.52097,8.5811e-06,p032
1.5758,1.4366,0.88098,2.0935e-05,p033
1.5111,0.74545,0.66718,0.00010561,p034
1.5575,1.1493,1.0127,0.0002892,p035
1.105,0.6691,1.093,4.7989e-05,p036
0.6392,0.56432,0.64907,2.4578e-05,p037
0.95209,1.475,1.0815,2.9057e-05,p038
0.8449,1.1858,1.4527,3.2509e-05,p039
1.6768,0.53078,0.81535,0.00043334,p040
0.57829,0.94292,1.4756,5.6611e-05,p041
0.67304,0.92799,0.77592,0.00023933,p042
1.8211,1.2231,1.0534,9.5636e-05,p043
1.8797,1.0357,0.75732,1.3455e-05,p044
1.49,0.84101,1.4858,3.3401e-05,p045
1.0356,0.6463,0.72406,6.7653e-06,p046
1.9333,1.392,1.2384,1.2772e-05,p047
1.4652,0.50342,0.67359,6.251e-06,p048
1.4426,1.1232,1.1962,1.193e-05,p049
0.70696,0.58674,1.4469,7.2083e-06,p050
1.4153,1.0997,0.78195,5.398e-06,p051
1.4501,0.78335,0.60761,0.00036738,p052
0.60926,1.178,0.50833,7.4653e-05,p053
1.3742,1.2682,1.2211,5.318e-05,p054
0.50811,1.208,0.54943,0.00017107,p055
1.0801,0.73687,0.76689,9.0244e-06,p056
1.6491,0.88952,1.0392,2.1925e-05,p057
0.71769,0.96313,0.57586,5.0683e-06,p058
0.81593,0.81668,0.96908,1.0225e-05,p059
0.59085,1.0615,0.74833,9.3394e-06,p060
1.6869,0.67656,0.80343,0.00010395,p061
0.91314,0.57178,0.99969,1.6748e-05,p062
1.907,1.1696,1.3375,8.0858e-06,p063
1.1771,0.69732,0.69183,0.00047115,p064
0.53927,1.0719,1.0479,0.00034293,p065
1.2299,0.51304,1.4225,9.8609e-06,p066
1.1921,1.4513,0.82761,0.00015261,p067
1.5044,1.1166,0.85376,6.3892e-05,p068
1.9539,0.63217,1.1346,1.7832e-05,p069
0.5459,0.99835,1.0769,0.00048678,p070
1.2106,1.3476,0.70671,1.2223e-05,p071
1.0113,1.4491,0.89145,8.8195e-05,p072
1.5844,0.89509,1.4357,1.8404e-05,p073
0.62461,0.83202,0.68325,0.00025174,p074
1.0599,0.6298,0.95679,8.4801e-05,p075
1.547,1.4109,0.98348,0.00017819,p076
1.0088,1.4853,0.73759,0.0003283,p077
1.1467,1.2115,0.63154,0.00011742,p078
1.624,0.75716,0.5583,0.00015848,p079
1.6674,1.3152,1.2072,7.6144e-06,p080
1.8917,1.4223,1.2896,5.5696e-06,p081
0.79186,0.68384,0.97552,3.4833e-05,p082
1.139,0.87747,1.4046,1.5092e-05,p083
1.4041,1.366,1.3816,0.00041539,p084
1.0519,0.6056,1.1202,7.901e-05,p085
1.837,1.3707,0.56938,5.126e-05,p086
1.9656,1.3833,0.92829,0.00044155,p087
0.96517,1.1363,0.61333,0.00027216,p088
1.3117,1.3011,0.93207,8.1289e-05,p089
0.7593,0.97755,1.3406,6.9097e-05,p090
0.51919,1.052,1.243,0.00019515,p091
1.9917,0.86716,1.1725,0.00021042,p092
1.0871,1.3222,1.1887,9.4644e-05,p093
1.8053,1.2769,1.1569,0.00023089,p094
1.7809,0.80345,0.83737,0.00013229,p095
1.2976,1.0201,1.1106,7.3211e-06,p096
1.9235,1.0035,1.4673,1.1124e-05,p097
1.2786,0.91495,1.3552,0.00018912,p098
0.5694,0.71536,1.0612,2.6972e-05,p099
0.74968,1.1001,0.5398,5.9344e-05,p100
