wind_speed,swr,Kw,c_relax_C,par_id
0.95836,0.66639,0.72957,0.0069296,p001
0.5955,1.2207,0.59231,0.0053313,p002
1.3426,0.92764,1.4712,0.00091717,p003
0.99891,0.6918,0.52184,0.0030107,p004
1.4586,0.72201,1.0388,0.00068862,p005
1.9908,1.3327,0.50541,0.0024311,p006
1.8894,1.0071,0.54408,0.0066388,p007
0.71349,1.2837,0.56976,0.0088033,p008
1.7911,0.7963,1.4961,0.00051089,p009
0.94451,0.8691,0.90228,0.0020175,p010
1.6753,1.1401,0.98775,0.0012027,p011
0.81339,1.4803,0.51559,0.0046504,p012
1.9371,0.56851,1.0094,0.0020835,p013
1.717,0.88928,0.70798,0.0054809,p014
1.7147,1.0571,1.1189,0.002215,p015
1.4385,1.0653,0.80399,0.00078467,p016
0.97521,1.4055,1.1575,0.0010213,p017
0.90124,0.96422,0.65044,0.0082372,p018
1.6171,1.3115,0.64713,0.0037089,p019
1.977,0.8423,1.1669,0.00023743,p020
1.403,0.5097,1.3988,0.0088232,p021
1.4855,1.4701,1.2923,0.005024,p022
1.5705,0.99959,1.3743,0.00047596,p023
0.78395,1.2357,1.318,0.007765,p024
0.667,0.80808,1.3516,0.0045217,p025
0.54221,1.3202,1.1807,0.0073032,p026
1.5848,0.78614,0.86797,0.0089898,p027
1.9056,1.0864,0.91316,0.0096837,p028
1.3367,0.53614,1.2655,0.008499,p029
1.133,1.3609,1.1491,0.001678,p030
0.52294,0.68499,1.2823,0.005588,p031
1.5423,0.85111,0.7558,0.0041498,p032
1.7488,0.95161,1.0537,0.0054389,p033
0.93489,1.0337,1.1083,0.0062309,p034
1.8161,0.9365,0.9767,0.00997,p035
0.58712,1.2573,1.0828,0.0081256,p036
1.1984,0.61625,0.57554,0.0095946,p037
1.283,0.70202,1.1997,0.0026316,p038
1.2783,0.94149,1.4075,0.0060317,p039
1.3841,1.1238,0.87506,0.0013896,p040
0.84959,0.57755,1.0986,0.0013869,p041
1.6412,1.3963,1.4313,0.0022913,p042
1.8634,1.2196,1.2706,0.0041773,p043
0.64703,0.91835,1.1748,0.0057757,p044
0.50456,0.7799,0.69439,0.0026936,p045
1.2395,1.0193,1.0286,0.0050733,p046
1.564,1.2472,1.0416,0.0071903,p047
1.7809,1.1884,0.74742,0.0069783,p048
1.7408,0.82347,0.92323,0.0079227,p049
0.82747,1.1974,0.99317,0.0062519,p050
0.83611,0.7433,1.3255,0.003336,p051
0.88002,1.453,0.5861,0.0070548,p052
1.1553,1.1143,1.4446,0.0042754,p053
1.2506,0.55664,0.62972,0.0058735,p054
1.0597,0.58563,1.2334,0.007877,p055
0.65224,0.65347,1.486,0.0092157,p056
1.1881,0.98176,1.2292,0.0043578,p057
1.6347,1.2714,0.96808,0.0015385,p058
0.63192,1.1054,0.88631,0.0034566,p059
1.6923,0.71892,0.67795,0.0094345,p060
1.2299,1.0234,0.79376,0.006096,p061
1.207,0.87318,1.1241,0.00084593,p062
0.7009,1.3894,0.68688,0.0086146,p063
1.0716,1.07,0.83055,0.0048633,p064
0.99217,0.52172,0.60985,0.00035208,p065
0.79163,0.51865,0.8407,0.0025547,p066
1.1258,0.6004,1.0126,0.0064247,p067
1.3226,1.4231,0.55176,0.0035195,p068
0.57493,1.17,1.0668,0.0091181,p069
1.5996,1.0494,0.66823,0.0018625,p070
1.8411,1.3783,1.3642,0.0038726,p071
1.5247,0.81787,0.95198,0.0016869,p072
1.0542,0.97756,0.89478,0.0097663,p073
0.86326,0.64667,1.465,0.0093145,p074
0.76759,1.3052,0.85253,0.0064883,p075
1.417,1.4112,1.2107,0.0029148,p076
1.1086,0.54753,1.242,0.0080213,p077
0.61332,1.2,0.93057,0.0074768,p078
1.9594,1.4924,1.0799,0.0057063,p079
1.7691,1.3436,0.76027,0.0011421,p080
1.658,1.1536,1.4542,0.0019236,p081
1.827,1.1696,0.77537,0.0090929,p082
1.4975,0.59121,1.3474,0.0067424,p083
1.8796,1.2995,1.2036,0.0027969,p084
1.3672,1.3547,0.78068,0.0052151,p085
1.0321,0.626,0.61029,0.0085489,p086
1.0884,0.67628,0.73398,0.0076297,p087
0.69452,1.2699,1.3087,0.007332,p088
1.9438,0.63876,1.3321,0.0037674,p089
1.1693,0.75404,0.63372,0.0032209,p090
0.91553,1.131,1.4148,0.00018811,p091
1.4698,1.4396,1.1348,0.0039629,p092
1.5172,0.76055,1.2506,0.0047944,p093
1.3887,0.73562,1.4236,0.0065821,p094
1.9176,0.89391,0.82695,0.0075449,p095
0.7257,0.9038,0.94362,0.0035821,p096
0.55408,0.83098,0.81944,0.0046964,p097
1.3003,1.4414,0.53279,0.009872,p098
1.0235,1.4649,1.3898,0.0030937,p099
0.75058,1.0942,0.71072,0.0083628,p100
