wind_speed,swr,Kw,c_relax_C,par_id
3.8584,4.4933,4.3781,0.0010737,p01
2.9143,5.9495,7.228,0.0038723,p02
7.4996,3.2685,3.435,0.00058352,p03
2.5522,9.9093,2.2722,0.0016624,p04
4.0298,2.7845,4.7183,0.0054505,p05
8.1433,9.6057,3.8749,0.0060557,p06
3.0686,2.4417,7.9643,0.0036018,p07
3.5621,7.698,0.77314,0.008701,p08
9.4713,5.6442,8.5973,0.0094814,p09
7.7318,6.9238,1.5763,0.0045055,p10
2.2073,8.8378,5.0564,0.0051056,p11
6.4016,7.3543,3.3188,0.0072027,p12
5.1753,2.0937,4.138,0.0018288,p13
8.7543,6.0087,2.9127,0.007512,p14
0.45584,6.6549,6.8633,0.0069285,p15
5.778,1.0748,0.64072,0.0080009,p16
0.034494,0.78725,0.19678,0.0032431,p17
9.6882,1.9394,2.5683,0.0014165,p18
0.9902,3.4055,9.8436,0.0042134,p19
9.1874,5.1617,5.9398,0.0048153,p20
8.3923,7.1589,6.023,0.0097332,p21
6.1981,4.1958,9.0548,0.0030145,p22
4.6108,1.3723,7.3552,0.0080978,p23
4.9251,8.2782,1.2105,0.00028109,p24
5.6072,9.009,8.2961,0.0021191,p25
1.6504,0.15889,6.5176,0.0091531,p26
7.0733,8.5258,1.9226,0.002665,p27
6.8497,0.65555,5.3446,0.0059975,p28
1.746,5.0046,8.7655,0.0066348,p29
1.171,3.8304,9.4299,0.008482,p30
