"0","# turn wide format of EERES Temperature to long format"
"0","EERES_Temperature = read_csv(""Data/EERES_Temperature.csv"")"
"2","[1mRows: [22m[34m43067[39m [1mColumns: [22m[34m8[39m"
"2","[36m──[39m [1mColumn specification[22m [36m─────────────────────────────────────────────────────────────────────────────────[39m
[1mDelimiter:[22m "",""
[31mchr[39m (1): time
[32mdbl[39m (7): 30 cm, 25 cm, 20 cm, 15 cm, 10 cm, 5 cm, air"
"2","
[36mℹ[39m Use `spec()` to retrieve the full column specification for this data.
[36mℹ[39m Specify the column types or set `show_col_types = FALSE` to quiet this message."
"0","EERES_T_long = pivot_longer(EERES_Temperature, cols=`30 cm`:`air`, names_to = ""Depth_meter"", values_to = ""Water_Temperature_celsius"") %>%"
"0","  filter(!Depth_meter==""air"") %>%"
"0","  mutate(datetime = as_datetime(time),"
"0","         Depth_meter =  gsub(""[^0-9]"", """", Depth_meter)) %>%"
"0","  mutate(Depth_meter = as.numeric(Depth_meter)/100) %>%"
"0","  select(-time)"
"0",""
"0","# write Water temperature to csv"
"0","write.csv(EERES_T_long,""Data/LakeEnsemblR_wtemp_profile_EERES.csv"",row.names=FALSE)"
"0",""
"0","# select and transform Meteorological data"
"0","meteo_raw = read_xlsx(""Data/20200101-20211231_Wetterstationsdaten_Andreas Lorke.xlsx"", "
"0","    skip = 1, na=c(""-99999,9"")) "
"2","New names:"
"0","meteo = meteo_raw %>%"
"0","  mutate(across(where(is.numeric), ~ na_if(., -9999))) %>%"
"0","  mutate(across(where(is.numeric), ~ na_if(., -99999.9)))"
"0",""
"0","# create datetime column"
"0","meteo$time = format(meteo$`~...1`, format = ""%H:%M:%S"")"
"0","meteo$datetime =  as.POSIXct(paste(meteo$`~...2`, meteo$time), format = ""%Y-%m-%d %H:%M:%S"")"
"0",""
"0","# check for na vlaues"
"0","na_df <- meteo %>%"
"0","  select(SO,TE,FE,TP,WD,WR,RD,DR) %>%"
"0","  filter(if_any(everything(), is.na))"
"0",""
"0","meteo_h =  meteo %>%"
"0","  # Create a column for the hour"
"0","  mutate(hour = floor_date(datetime, ""hour"")) %>%"
"0","  # Group by hour column"
"0","  group_by(hour) %>%"
"0","  # summarize for each hour"
"0","  summarise(across(everything(), "
"0","                   list(avg = ~ ifelse(cur_column() == ""RD"", sum(.), mean(.))), "
"0","                   .names = ""{.col}"")) %>%"
"0","  # change hPa to Pa"
"0","  mutate(DR = DR*100) %>%"
"0","  # choose the required columns"
"0","  select(hour,SO,TE,FE,TP,WD,WR,RD,DR) %>%"
"0","  # name the columns as required"
"0","  rename(datetime=hour,"
"0","         Shortwave_Radiation_Downwelling_wattPerMeterSquared=SO,"
"0","         Air_Temperature_celsius=TE,"
"0","         Relative_Humidity_percent=FE,"
"0","         Dewpoint_Temperature_celsius=TP,"
"0","         Ten_Meter_Elevation_Wind_Speed_meterPerSecond=WD,"
"0","         Ten_Meter_Elevation_Wind_Direction_degree=WR,"
"0","         Rainfall_millimeterPerHour=RD,"
"0","         Surface_Level_Barometric_Pressure_pascal=DR)"
"2","Warnung: [1m[22mThere were 17489 warnings in `summarise()`.
The first warning was:
[1m[22m[36mℹ[39m In argument: `across(...)`.
[36mℹ[39m In group 1: `hour = 2020-01-01`.
Caused by warning in `mean.default()`:
[33m![39m Argument ist weder numerisch noch boolesch: gebe NA zurück
[1m[22m[36mℹ[39m Run ]8;;ide:run:dplyr::last_dplyr_warnings()dplyr::last_dplyr_warnings()]8;; to see the 17488 remaining warnings."
"0","# test for missing timesteps"
"0","get_missing_datetimes = function(df){"
"0","  start_time <- as.POSIXct(""2020-06-01 00:00:00"")"
"0","  end_time <- as.POSIXct(""2021-07-31 00:00:00"")"
"0","  complete_sequence <- seq(from = start_time, to = end_time, by = ""hour"")"
"0","  missing_time_steps <- setdiff(complete_sequence, df$datetime)"
"0","  missing_df <- data.frame(datetime = as.POSIXct(missing_time_steps))"
"0","  result_df <- missing_df %>%"
"0","    left_join(df, by = ""datetime"")"
"0","  return(result_df)"
"0","}"
"0","missing_h_1 = get_missing_datetimes(meteo_h)"
"0",""
"0","# some missing time steps are not in simulation time --> drop all rows outside"
"0","meteo_h_filtered = meteo_h %>%"
"0","  ungroup() %>%"
"0","  filter(as.Date(datetime) > as.Date(""2020-06-15 00:00:00"") &"
"0","         as.Date(datetime) < as.Date(""2021-07-31 00:00:00""))"
"0",""
"0","# test again"
"0","missing_h_2 = get_missing_datetimes(meteo_h_filtered) %>%"
"0","  filter(as.Date(datetime) > as.Date(""2020-06-15 00:00:00"") &"
"0","         as.Date(datetime) < as.Date(""2021-07-31 00:00:00""))"
"0","print(missing_h_2)"
