Date,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
2020-01-01 00:00:00,39.720753,396.72875,17.826595,100.79746,0.4517624,0.017650137,0
2020-01-01 00:10:00,225.51972,347.48967,8.3446296,55.069997,1.3946912,0,0
2020-01-01 00:20:00,350.68883,311.85782,0.83311522,123.98268,6.5015681,0,0
2020-01-01 00:30:00,0,401.39554,18.678548,21.520547,2.2530835,0.013571806,0
2020-01-01 00:40:00,0,385.47516,15.740818,94.997772,2.4208857,0,0
2020-01-01 00:50:00,0,280.20215,-6.4011819,107.24718,6.9479322,0.022482262,0.022482262
2020-01-01 01:00:00,50.853638,307.88928,-0.042717766,10.857,3.3676123,0.0065600058,0.0065600058
2020-01-01 01:10:00,42.48982,325.90736,3.8681211,50.083163,0,0.0014409865,0
2020-01-01 01:20:00,317.20898,292.8019,-3.45176,44.971542,0.090983174,0,0
2020-01-01 01:30:00,162.25353,401.92905,18.77547,60.082436,0.77953028,0,0
2020-01-01 01:40:00,0,399.63743,18.358471,26.285763,5.5462828,0.045661205,0
2020-01-01 01:50:00,0,329.25601,4.5769761,21.849322,3.0789871,0.017933043,0
2020-01-01 02:00:00,0,321.25301,2.873742,97.391286,3.1959122,0,0
2020-01-01 02:10:00,94.125816,371.70885,13.126278,83.632229,2.3677724,0.021503817,0
2020-01-01 02:20:00,0,330.56135,4.8518311,130.96187,0.46499291,0,0
2020-01-01 02:30:00,388.6133,389.41659,16.476469,95.990313,7.1530429,0,0
2020-01-01 02:40:00,341.73988,301.86696,-1.3881218,107.71291,3.4730515,0,0
2020-01-01 02:50:00,268.21233,343.61078,7.5557665,153.36178,0,0.075851398,0
2020-01-01 03:00:00,141.22896,362.46973,11.330547,39.155278,4.0540149,0,0
2020-01-01 03:10:00,723.89491,331.81608,5.1152638,10.857,0.70208168,0.00552082,0
2020-01-01 03:20:00,142.48268,345.25804,7.8915859,85.233146,0,0.015986838,0
2020-01-01 03:30:00,57.764515,379.48775,14.612422,177.74582,1.4295269,0,0
2020-01-01 03:40:00,442.72359,310.17158,0.46199898,107.13124,0,0.025481957,0
2020-01-01 03:50:00,148.0675,441.71421,25.745916,10.857,0,0,0
2020-01-01 04:00:00,0,323.46059,3.3467194,150.27728,0.26744741,0.089327938,0
2020-01-01 04:10:00,119.2219,385.7721,15.796435,90.324594,0,0.031300633,0
2020-01-01 04:20:00,139.49221,331.52356,5.0539162,149.83548,4.4434959,0.00041049584,0
2020-01-01 04:30:00,0,339.69215,6.7520103,61.210782,2.4896442,0,0
2020-01-01 04:40:00,312.35224,378.00862,14.331607,148.17485,0,0.011997064,0
2020-01-01 04:50:00,0,361.84858,11.208592,92.10561,5.6311643,0,0
2020-01-01 05:00:00,83.355883,360.14425,10.873163,132.36899,3.2692594,0,0
2020-01-01 05:10:00,334.09324,256.92705,-12.122,10.857,1.2094331,0,0
2020-01-01 05:20:00,309.70759,390.67799,16.710725,53.338284,4.6071851,0.001651074,0
2020-01-01 05:30:00,275.59481,324.27186,3.519927,53.816415,4.5586762,0.023453242,0
2020-01-01 05:40:00,0,324.83355,3.6396581,90.799776,4.3972314,0,0
2020-01-01 05:50:00,84.075205,367.39274,12.291608,90.110971,4.0177145,0,0
2020-01-01 06:00:00,22.862515,394.29157,17.37868,109.58102,3.633111,0,0
2020-01-01 06:10:00,402.94405,377.71958,14.276637,17.187617,1.8750532,0.013388789,0
2020-01-01 06:20:00,0,379.20255,14.558339,54.612691,1.1783412,0,0
2020-01-01 06:30:00,354.21564,401.34298,18.668994,109.43624,0.96563621,0,0
2020-01-01 06:40:00,13.997547,369.27727,12.656948,70.547407,0.068561363,0,0
2020-01-01 06:50:00,205.55809,406.31875,19.569298,70.044208,1.4582393,0,0
2020-01-01 07:00:00,240.2881,386.4195,15.917587,228.80674,0,0,0
2020-01-01 07:10:00,0,323.39337,3.3323532,74.831456,8.2436914,0,0
2020-01-01 07:20:00,0,331.80038,5.1119716,164.67898,5.5002643,0.011730607,0
2020-01-01 07:30:00,0,377.71577,14.275912,19.770803,0,0,0
2020-01-01 07:40:00,293.48955,403.02269,18.973849,145.15236,0.90164962,0.050166749,0
2020-01-01 07:50:00,0,319.48126,2.4923761,118.83877,0.71959877,0.050040191,0
2020-01-01 08:00:00,112.56431,367.91549,12.393092,10.857,4.278427,0.04666249,0
2020-01-01 08:10:00,0,350.78822,9.0102875,10.857,1.8137971,0,0
2020-01-01 08:20:00,670.01969,320.58409,2.7299435,142.48667,2.7749664,0,0
2020-01-01 08:30:00,323.50966,433.33477,24.318184,131.4029,1.9703028,0,0
2020-01-01 08:40:00,23.111322,308.34344,0.057940594,99.915835,1.9294118,0,0
2020-01-01 08:50:00,226.674,334.45645,5.6671804,53.344359,5.9588571,0,0
2020-01-01 09:00:00,151.3352,383.43959,15.358675,104.83245,1.4072708,0.035087542,0
